卬	卭
卭	卬
卮	巵
卯	戼 𩇨 𩇧 𤕰 𦕔
印	𠘄
危	𡵁
即	卽
却	卻
卵	卵
卷	捲
卸	缷
卹	恤
卻	却
卽	即 皍
厂	廠
厄	阨 戹
厅	廳
历	歷 厲 曆
厉	厲
压	壓
厌	厭
厍	厙
厎	砥
厐	龐 龎
厓	崖
厕	廁 厠
厖	龐 庬
厗	銻
厘	釐
厙	厍
厚	垕 𡦩
厛	廳
原	𠪥 𨘡 𠪰
厠	廁 𨕟 厕
厢	廂
厣	厴
厤	曆
厥	氒 〈 氏 下 可 〉 𨈑 𨈐 𣅞
厦	廈
厨	廚 𢊍
厩	廐 廄
厪	廑
厭	厌
厮	㒋 廝
厰	廠
厲	历 厉
厳	嚴
厴	厣
厵	源
厶	私 某
厷	肱
厸	鄰
厹	叴
县	縣
叁	參 三 叄
参	參
參	參 𠫰 朁 叅 薓 参
叄	參 叁
叅	參
叆	靉
叇	靆
叉	釵
及	𢎜 𨕤
友	㕛 𠬺 𦐮 𦫹 𦐯
双	雙
反	𠬡
収	收
发	發 髮
叓	事
叔	𡭫 𠁮 𢆑 尗
受	𠭧
变	變
叙	敍 敘
叜	叟 傁 溞
叝	告
叟	叜 傁 墰
叠	曡 疊
叡	睿 壡 䜭
叢	樷 丛
口	𠮚 𠙵
古	𠖠 𡇣
句	句
叨	饕
只	止 子 衹 隻
叫	呌
可	歌 厥
台	臺 嗣 台 檯 颱
史	㕜
叴	厹
叵	尀
叶	葉
号	號
司	𤔲
叹	嘆
叽	嘰
吁	籲 𠮲
吃	喫
吅	訟
合	閤
吊	弔
吋	寸
同	仝 衕
后	后 後
吏	吏
向	嚮 曏
吒	咤
吓	嚇
吕	呂
吗	嗎
吚	咿
君	𠱩 𠱭
吝	吝 恡 悋 𠲲 𠯌 𠴽
吞	呑
吟	唫 㕂
吣	唚
否	𠘶
吨	啍 噸
含	唅
听	聽 哂
启	啓 啟
吲	哂
吳	呉 虞 𡗿 𡗾 吴
吴	吳
吶	訥 呐
吸	噏
吹	龡
吻	呡 肳 㖧 𠞍
吾	𠮣
吿	告
呂	呂 吕
呃	阨
呆	騃 獃
呈	㞷
呉	吳
告	吿
呌	叫
呐	吶
呑	吞
呒	嘸
呓	囈
呕	嘔
呖	嚦
呗	唄
员	員
呙	咼
呛	嗆
呜	嗚
呠	歕 噴
呡	吻
周	週 𠱬 𠄗
呩	嗜
呪	咒 詋
呱	哌
呴	詬
呵	訶
呼	謼 𠰗 戲
咀	嘴 觜
咂	𠯗
咊	和 龢
和	龢 咊
咏	詠
咒	呪
咙	嚨
咛	嚀
咝	噝
咠	舙
咤	吒
咥	嘻
咨	谘 嗞 諮
咩	哶
咬	齩
咮	胄
咯	詻
咱	偺 喒
咲	笑
咳	欬 孩
咷	啕
咸	鹹
咼	呙
咽	咽 嚥
咿	吚
哂	吲 听
哄	閧
哉	才
哌	呱
响	響
哑	啞
哒	噠
哓	嘵
哔	嗶
哕	噦
哗	嘩
哙	噲
哜	嚌
哝	噥
哟	喲
員	云 员
哥	歌
哦	誐
哲	喆 悊 嚞
哴	喨
哶	咩
哼	苛
唁	喭 囐
唄	呗
唅	含
唇	脣
唉	誒 欸
唊	硤
唐	啺 𣉺 𡃯
唖	啞
唚	吣
唛	嘜
唝	嗊
唠	嘮
唡	啢
唢	嗩
唤	喚
唧	喞
唫	吟
唬	諕 猇 虓
唱	𪛋
唷	唹
唾	涶
啃	齦
商	𡅟 𠾃 𡂦 𠿧 𡃬 𡄚 𠹧 𧶜
啊	阿
啍	吨
啎	忤
問	𠳅 问
啓	啟 启
啔	啓
啕	咷
啖	啗 㗖 噉
啗	啖 㗖 噉
啚	𠴿
啜	欼 諁 歠
啞	唖 瘂 哑
啟	啓 启
啢	唡
啣	㘅
啧	嘖
啨	情
啬	嗇
啭	囀
啮	嚙
啯	嘓
啰	囉
啴	嘽
啸	嘯
啺	唐
啼	嗁 謕
喂	餧 餵
喃	嫐 諵
善	譱 𦎍 𠾄 𧮟
喆	哲
喇	喇
喎	㖞
喏	諾
喐	郁
喒	昝 偺 咱
喚	唤
喜	憙 憘 𢐭 歖
喞	唧
喟	𠷝
喧	吅 諠
喨	哴
喩	喻
喪	𡂤 𡴧 𡂧 𦦦 𡚏 丧
喫	吃
喬	乔
喭	唁 𧧑
單	単 单
喰	餐
喲	哟
営	營
喷	噴
喻	喩
喽	嘍
喾	嚳
喿	噪
嗀	嗀
嗁	啼
嗄	𠷚
嗅	齅
嗆	呛
嗇	𠻮 𤲝 𤳋 𤲷 啬
嗉	膆
嗊	唝
嗎	吗
嗒	㗳
嗚	呜
嗜	呩
嗞	咨 諮
嗟	𨲠 差
嗣	台 孠
嗥	嚎 嘷
嗩	唢
嗫	囁
嗬	呵
嗳	噯
嗶	哔
嗻	處
嗽	瘶
嘆	𡂥 歎 叹
嘈	䜊
嘍	謱 喽
嘎	尜
嘑	呼
嘓	啯
嘔	慪 呕
嘖	啧
嘗	甞 尝
嘘	噓
嘜	唛
嘤	嚶
嘨	嘯
嘩	譁 哗
嘮	唠
嘯	嘨 歗 啸
嘰	叽
嘱	囑
嘴	咀 觜
嘵	哓
嘷	嗥
嘸	呒
嘻	咥
嘼	畜
嘽	啴
嘿	默
噁	恶
噂	譐
噅	噕
噉	㗖 啖 啗
噏	吸
噐	器
噑	嚎
噓	嘘
噕	噅
噚	㖊
噜	嚕
噝	咝
噠	哒
噥	哝
噦	𧬨 哕
器	噐 𡄛
噪	譟 喿
噫	𢤏
噯	嗳
噲	哙
噴	呠 歕 喷
噸	吨
噹	当
嚀	咛
嚇	吓
嚌	𠴧 哜
嚎	嗥 噑
嚏	嚔
嚔	嚏
嚕	噜
嚙	齧 啮
嚚	𠽺 𡅚 𡓶 𠿦
嚞	哲
嚠	瀏
嚢	囊
嚣	囂
嚥	咽 咽
嚦	呖
嚨	咙
嚬	顰
嚮	向 𡩉 𡪥
嚲	亸
嚳	俈 喾
嚴	厳 𡅾 严
嚵	饞
嚶	嘤
嚹	𡅈
嚻	囂
囀	啭
囁	讘 嗫
囂	𠽸 嚣
囅	冁
囈	呓
囉	啰
囊	嚢 𢑿
囌	蘇
囏	艱
囐	唁
囑	嘱
囓	嚙 齧
囗	國 圍
囘	回 囬
四	𦉭 肆
回	囬 囘 廻
囟	𠙷 𦞤 䪿 顖 倖 幸
因	𤇀
团	團
団	團
囤	𥫱
囦	淵
囪	囱
囬	囘 回
园	刓 園
囮	𡈙 諤
囯	國
困	𣏔 睏
囱	囪
囲	圍
図	圖
围	圍
囵	圇
囶	國
囹	囹
固	怘
国	國
图	圖
圀	國
圅	函 凾
圆	圓
圇	囵
圈	圏
國	圀 囗 囶 𢧌 䆐 囯 国
圍	囲 囗 围
圎	圓
圏	圈
園	园
圓	圎 圆
圕	圖
圖	図 𡈖 𡇴 圕 图
團	団 团
圢	䵺 町
圣	聖
圧	壓
圫	墺
圬	杇
圭	珪
地	埊 𨻐 埅 𠏂 嶳
圱	俗
圹	壙
场	場
圻	垠
址	阯
坂	阪
坃	壎
坆	墳
均	韻
坋	坌
坌	坋
坎	埳
坏	坯 壞
坐	座 㘸
坑	阬
坓	型
坕	經
坖	忌
块	塊
坚	堅
坛	壇 罈
坜	壢
坝	壩
坞	塢
坟	墳
坠	墜
坣	堂
坤	巛 𠔜 堃
坫	店
坭	泥
坯	壞 坏
坰	冂 冋
坵	丘
垂	埀 𡍮 𠄒 𠂹 𠣔
垄	壟
垅	壠
垆	壚
型	坓
垐	堲
垒	壘
垓	陔
垔	陻 堙
垕	厚
垛	垜
垜	垛
垠	圻 㙬 𡊷 𡏴
垣	𩫧
垦	墾
垩	聖 堊
垫	墊
垭	埡
垱	壋
垲	塏
垴	堖
垵	埯
垻	壩
埀	垂
埅	地
埇	甬
埊	地
埒	埓
埘	塒
埙	塤
埚	堝
埜	野
域	㽣 䧕 𢨊 譽
埡	垭
埯	垵
埰	采
埳	坎
埶	蓺 秇 藝
執	执
基	𡉝 抍 拯
埼	崎
埽	掃
堂	坣 㙶
堃	坤
堅	坚
堆	𠂤
堇	菫
堈	缸 罁
堊	聖 垩
堑	塹
堕	墮
堖	垴
堘	塍
堙	垔 陻
堝	埚
堤	隄
堦	階
堭	隍
堯	𡋰 尧
報	报
堲	垐
場	塲 场
堺	界
堿	鹼 鹻
塆	壪
塈	墍
塊	凷 块
塋	茔
塌	𡓲
塍	堘
塏	垲
塐	塑
塑	塐
塒	埘
塔	墖 㙮
塗	凃 涂
塚	塚 中
塜	塳
塞	塞
塟	葬
塡	填 窴 𥧑
塢	隝 隖 鄔 坞
塤	壎 埙
塩	鹽
填	塡
塲	場
塳	塜
塵	𦧄 𡐪 尘
塹	壍 堑
塾	孰
墈	磡
墉	𩫱 𩫃
墊	垫
墍	塈 𡉙 𡍳
墖	塔
増	增
墙	牆 墻
墜	坠
墝	磽
墤	隤
墫	樽 罇
墮	堕
墰	罈 壜 傁
墳	坆 坟 𡏶
墺	𡋮 𡋸 圫 𡌱
墻	牆 廧 墙
墾	垦
壇	坛
壈	𡒄
壊	壞
壋	垱
壌	壤
壍	塹
壎	塤 坃 壦
壐	璽
壓	圧 压
壘	塁 垒
壙	圹
壚	垆
壜	墰 罈
壞	壊 𡎯 坏
壟	壟 垄
壠	垅
壡	叡
壢	坜
壤	壌 𦦶
壦	壎
壩	垻 坝
壪	塆
壮	壯
壯	壮
声	聲
売	賣
壳	殼 㱿 殻
壶	壺
壷	壺 𠻭
壸	壼
壹	搋 一 弌 夁 𡔾 𡕋 𡕍
壺	壷 壶
壻	婿
壼	壸
壽	寿 夀 𦓃 𦓂 𠭵 𠷎
夀	壽 寿
夁	壹
夃	沽
处	處
夅	降
备	備
変	變
夊	攵 終 綏
夌	陵
复	復 複 覆
夏	𡔰 𠍺 昰 𡕾
夐	敻
外	𡖄 舀
夘	卯
夙	宿 𠈇 𠉦 𣦽
多	夛 𡖇 𡖈
夛	多
夜	亱 𡖍 𠙑 𠙇
够	彀 夠
夠	够 彀
夢	梦 夣
夣	夢
夥	伙
大	𠘲
天	𠀡 𠀘 𦴞 兲 靝 𠕹
夭	殀
夯	䂫
夳	泰
头	頭
夶	比
夷	𡰥
夸	誇
夹	夾
夺	奪
夾	夹
奁	奩
